restaurant_name,city,location,cuisines,average_cost,aggregate_rating,votes,has_online_delivery,has_table_booking,rest_type,dish_liked
JustBe Cafe,Malleshwaram,Sadashiv Nagar,"Cafe, Beverages, Healthy Food",1000.0,4.3,476,False,True,Cafe,"Salad, Salads, Sandwich, Nachos, Garden Pizza, Herbed Potato Wedges, Falafel"
Mojo Pizza - 2X Toppings,Jp Nagar,Btm,Pizza,600.0,4.3,476,True,False,"Takeaway, Delivery","Veggie Pizza, Garlic Bread, Cheesy Pizza, Chicken Pizza, Thin Crust Pizza, Chocolava"
Dalma,Koramangala 7Th Block,Koramangala 6Th Block,Oriya,600.0,3.9,475,True,False,Casual Dining,"Lassi, Mutton Kosha, Thali, Chicken Handi, Chicken Curry, Buttermilk, Rasgulla"
Levitate Brewery and Kitchen,Jayanagar,Jp Nagar,"Finger Food, North Indian, Continental",1500.0,0.0,475,False,True,"Microbrewery, Casual Dining","Salsa, Pizza, Wheat Beer, Tiramisu, Lager, Cosmopolitan, Cocktails"
Sukh Sagar,Koramangala 7Th Block,Koramangala 5Th Block,"South Indian, North Indian, Chinese, Street Food",500.0,3.8,474,True,False,Casual Dining,"Pav Bhaji, Panneer Butter Masala, Deluxe Thali, Tea, Panipuri, Chaat, Masala Dosa"
Burger King,Jp Nagar,Bannerghatta Road,"Burger, Fast Food, Beverages",600.0,3.8,474,True,False,Quick Bites,"Burgers, Whopper Meal, Crispy Chicken, French Fries, Grilled Wings"
Ministry of Food - Hilton Bangalore Embassy GolfLinks,Old Airport Road,Domlur,"North Indian, Asian, South Indian, Italian, European",3000.0,4.2,474,False,True,Fine Dining,"Chicken Curry, Jalebi, Pasta, Breakfast Buffet, Paratha, Fish, Mutton Sukha"
Crunch Pizzas,Hsr,Btm,"Italian, Pizza",600.0,2.6,473,True,False,Quick Bites,"Pie, Thin Crust Pizza, Cheesy Pizza, Pepperoni Pizza, Paneer Pizza"
Kritunga Restaurant,Electronic City,Electronic City,"Andhra, Biryani, North Indian, Chinese",650.0,3.8,473,False,True,Casual Dining,"Brain Fry, Mutton Biryani, Bamboo Chicken, Chicken Biryani, Mutton Curry, Kulcha, Butter Naan"
Dhaba Social,Marathahalli,Brookefield,North Indian,700.0,4.0,472,True,False,Casual Dining,"Tandoori Chicken, Chicken Malai Tikka, Lassi, Tandoori Aloo, Paneer Lababdar, Kalmi Kabab, Bruschettas"
Muthashy's,Koramangala 7Th Block,Btm,"Kerala, South Indian, Chinese",400.0,4.2,472,True,False,Quick Bites,"Fish, Appam, Egg Roast, Kadala Curry, Chicken Curry, Beef Fry, Ghee Rice"
Hatch,Rajajinagar,Malleshwaram,"North Indian, Mangalorean, Seafood",1200.0,4.2,471,True,True,"Casual Dining, Bar","Cocktails, Appam, Beer, Murgh Ghee Roast, Mocktails, Pizza, Cheese Balls"
Nandhini Deluxe,Malleshwaram,Sankey Road,North Indian,600.0,4.0,471,False,False,Casual Dining,"Mutton Chops, Fish, Andhra Biryani, Thali, Hyderabadi Biryani, Chicken Biryani, Mutton Fry"
Float Brewery,Kammanahalli,Kalyan Nagar,"Bar Food, Asian, European, Mediterranean",1800.0,4.2,471,True,True,"Microbrewery, Casual Dining","Pork Tonkatsu, Mocktails, Ginger Pork, Craft Beer, Falafel Burger, Cocktails, Wheat Beer"
Sri Sairam's Chats and Juice,Malleshwaram,Malleshwaram,Street Food,100.0,4.2,471,False,False,Quick Bites,"Chaat, Dahipuri, Chips, Masala Poori, Bhel Puri, Jal-jeera, Sev Puri"
